Name,Budget,Lease Duration,Furnishing,Smoking/Drinking,Guests Allowed,Daily Routine
Rahul_439,15000,Short-term,Unfurnished,Yes,Occasionally,Day Scholar
Tanya_496,10000,Short-term,Unfurnished,No,Yes,Night Owl
Rajesh_397,25000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Preeti_8,7000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Rahul_345,25000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Neha_78,10000,Long-term,Semi-furnished,Yes,Yes,Night Owl
Aarav_97,25000,Long-term,Unfurnished,No,No,Day Scholar
Tanya_229,12000,Short-term,Unfurnished,No,Yes,Night Owl
Krishna_446,20000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Avni_269,10000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Aarav_223,7000,Long-term,Semi-furnished,Yes,No,Night Owl
Krishna_108,25000,Long-term,Semi-furnished,Yes,No,Night Owl
Gaurav_333,12000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Krishna_152,7000,Long-term,Unfurnished,Yes,Yes,Day Scholar
Swati_375,10000,Long-term,Furnished,No,No,Day Scholar
Kabir_405,5000,Short-term,Unfurnished,No,Yes,Day Scholar
Rekha_376,10000,Long-term,Furnished,Occasionally,No,Day Scholar
Pooja_243,10000,Long-term,Semi-furnished,Yes,No,Day Scholar
Rekha_284,15000,Short-term,Furnished,Occasionally,Yes,Night Owl
Ananya_360,10000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Aniket_152,12000,Short-term,Semi-furnished,No,No,Night Owl
Aarav_302,7000,Short-term,Unfurnished,No,No,Night Owl
Simran_345,10000,Long-term,Furnished,Yes,Yes,Day Scholar
Priya_328,12000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Swati_96,7000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Pallavi_453,5000,Short-term,Furnished,No,Occasionally,Night Owl
Meera_222,12000,Long-term,Furnished,Yes,Yes,Night Owl
Arjun_38,12000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Krishna_110,15000,Short-term,Furnished,No,Yes,Day Scholar
Manish_252,7000,Short-term,Semi-furnished,No,Yes,Day Scholar
Vikram_281,10000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Siddharth_86,25000,Short-term,Unfurnished,Occasionally,No,Night Owl
Avni_441,12000,Short-term,Furnished,Yes,No,Day Scholar
Bhavya_116,10000,Short-term,Unfurnished,No,No,Day Scholar
Sneha_334,12000,Long-term,Unfurnished,No,Occasionally,Night Owl
Kabir_376,7000,Long-term,Furnished,No,Yes,Day Scholar
Avni_2,15000,Short-term,Unfurnished,No,Yes,Night Owl
Pooja_472,7000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Rahul_185,7000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Priya_297,10000,Long-term,Furnished,No,No,Day Scholar
Vihaan_342,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Meera_236,25000,Long-term,Unfurnished,No,No,Night Owl
Pooja_411,5000,Short-term,Furnished,Yes,Occasionally,Night Owl
Aarav_429,5000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Aniket_21,12000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Priya_13,12000,Long-term,Unfurnished,No,No,Night Owl
Bhavya_284,15000,Short-term,Furnished,No,Yes,Day Scholar
Vivaan_394,15000,Long-term,Unfurnished,Yes,No,Day Scholar
Vikram_356,25000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Meera_49,5000,Long-term,Furnished,Occasionally,No,Day Scholar
Priya_175,10000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Aarav_188,5000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Sarita_469,7000,Short-term,Semi-furnished,No,No,Day Scholar
Gaurav_151,20000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Siddharth_8,15000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Preeti_281,5000,Short-term,Furnished,Occasionally,Yes,Night Owl
Saanvi_419,15000,Long-term,Semi-furnished,Occasionally,Yes,Night Owl
Vivaan_493,25000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Neha_261,25000,Short-term,Furnished,No,No,Day Scholar
Ishaan_442,15000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Aryan_243,15000,Short-term,Unfurnished,Occasionally,Occasionally,Night Owl
Rahul_32,5000,Long-term,Semi-furnished,Yes,No,Day Scholar
Divya_287,10000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Vikram_220,15000,Long-term,Unfurnished,No,Occasionally,Night Owl
Siddharth_391,15000,Long-term,Furnished,No,Occasionally,Night Owl
Aarav_314,15000,Long-term,Unfurnished,No,No,Day Scholar
Ishaan_485,20000,Short-term,Furnished,Yes,No,Day Scholar
Manish_289,10000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Riya_124,25000,Short-term,Furnished,No,No,Day Scholar
Aniket_463,5000,Short-term,Furnished,Yes,No,Day Scholar
Vihaan_43,20000,Short-term,Unfurnished,Yes,No,Day Scholar
Vikram_96,25000,Short-term,Unfurnished,Yes,Yes,Night Owl
Divya_493,20000,Long-term,Semi-furnished,Occasionally,No,Night Owl
Ishita_4,12000,Long-term,Unfurnished,No,Occasionally,Night Owl
Pallavi_160,12000,Short-term,Semi-furnished,No,Yes,Night Owl
Swati_482,12000,Long-term,Furnished,Occasionally,Occasionally,Day Scholar
Aarav_330,20000,Long-term,Furnished,Yes,No,Day Scholar
Ishaan_68,25000,Short-term,Semi-furnished,Occasionally,No,Night Owl
Sneha_210,25000,Short-term,Semi-furnished,No,Yes,Night Owl
Yash_70,7000,Short-term,Unfurnished,No,Yes,Night Owl
Ishita_17,12000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Aanya_158,5000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Rohan_54,5000,Short-term,Semi-furnished,Yes,No,Night Owl
Preeti_73,20000,Short-term,Semi-furnished,Yes,Yes,Night Owl
Tanya_277,15000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Vihaan_229,5000,Long-term,Furnished,Yes,Yes,Day Scholar
Arjun_182,25000,Short-term,Furnished,No,Occasionally,Day Scholar
Gaurav_34,25000,Long-term,Semi-furnished,No,No,Day Scholar
Gaurav_294,25000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Ishaan_164,25000,Short-term,Semi-furnished,No,Yes,Day Scholar
Pallavi_377,20000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Ishaan_290,12000,Short-term,Unfurnished,Yes,Occasionally,Day Scholar
Arjun_202,5000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Ananya_459,10000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Simran_48,5000,Short-term,Furnished,No,No,Day Scholar
Arjun_446,15000,Long-term,Semi-furnished,Yes,Yes,Night Owl
Vihaan_94,25000,Short-term,Unfurnished,No,Yes,Night Owl
Swati_297,7000,Long-term,Furnished,No,Yes,Day Scholar
Ishaan_234,5000,Short-term,Furnished,Occasionally,No,Day Scholar
Rekha_103,10000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Ishaan_428,7000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Rekha_451,25000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Vikram_432,20000,Short-term,Furnished,No,No,Day Scholar
Divya_379,15000,Short-term,Furnished,Yes,Yes,Day Scholar
Divya_333,5000,Short-term,Semi-furnished,No,Yes,Day Scholar
Saanvi_182,25000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Ishaan_481,12000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Rajesh_172,7000,Long-term,Furnished,Occasionally,Occasionally,Day Scholar
Nisha_245,15000,Short-term,Furnished,No,No,Night Owl
Swati_383,5000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Pooja_355,15000,Long-term,Unfurnished,Yes,Occasionally,Day Scholar
Nisha_122,7000,Long-term,Furnished,No,No,Day Scholar
Yash_128,10000,Short-term,Furnished,No,No,Day Scholar
Aanya_23,12000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Pallavi_414,25000,Short-term,Furnished,Occasionally,Yes,Night Owl
Pallavi_237,10000,Short-term,Unfurnished,Yes,No,Night Owl
Yash_433,20000,Short-term,Semi-furnished,No,No,Night Owl
Nisha_196,7000,Short-term,Unfurnished,Yes,No,Night Owl
Nisha_212,10000,Long-term,Semi-furnished,Yes,No,Night Owl
Aryan_289,5000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Simran_62,15000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Divya_358,25000,Long-term,Furnished,Occasionally,Yes,Night Owl
Siddharth_129,12000,Short-term,Semi-furnished,No,Yes,Night Owl
Ishita_449,15000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Rohan_238,7000,Long-term,Semi-furnished,Yes,No,Day Scholar
Neha_402,7000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Avni_383,7000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Sarita_152,7000,Short-term,Furnished,Yes,No,Night Owl
Rohan_362,12000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Meera_167,20000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Arjun_134,25000,Short-term,Unfurnished,No,Yes,Day Scholar
Pooja_46,5000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Ishita_16,20000,Long-term,Furnished,Yes,Occasionally,Night Owl
Kabir_206,25000,Long-term,Unfurnished,No,Yes,Night Owl
Rekha_130,12000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Meera_123,12000,Long-term,Semi-furnished,Yes,Yes,Night Owl
Vikram_156,7000,Short-term,Furnished,Yes,No,Day Scholar
Gaurav_257,10000,Short-term,Unfurnished,Yes,No,Day Scholar
Meera_485,5000,Long-term,Unfurnished,Yes,No,Day Scholar
Yash_113,7000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Vikram_440,10000,Short-term,Furnished,Yes,Yes,Day Scholar
Preeti_364,20000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Vihaan_387,25000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Rekha_416,12000,Short-term,Unfurnished,Yes,Occasionally,Day Scholar
Priya_58,7000,Short-term,Furnished,Occasionally,Yes,Night Owl
Ishaan_467,12000,Long-term,Unfurnished,No,Yes,Day Scholar
Vivaan_479,12000,Long-term,Furnished,Yes,Yes,Night Owl
Rekha_105,12000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Nisha_5,7000,Short-term,Unfurnished,Yes,Occasionally,Day Scholar
Aniket_132,7000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Preeti_483,5000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Arjun_46,20000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Vivaan_415,20000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Gaurav_438,15000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Ishaan_202,25000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Kavya_45,10000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Siddharth_252,5000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Rahul_410,10000,Long-term,Semi-furnished,No,Yes,Day Scholar
Sneha_151,20000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Bhavya_364,10000,Short-term,Furnished,Yes,No,Day Scholar
Pooja_394,20000,Long-term,Furnished,No,No,Day Scholar
Gaurav_121,7000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Aarav_338,15000,Short-term,Semi-furnished,Yes,No,Night Owl
Ananya_336,12000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Rajesh_458,25000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Priya_226,15000,Long-term,Semi-furnished,Yes,No,Day Scholar
Gaurav_103,15000,Long-term,Semi-furnished,No,Yes,Night Owl
Aarav_113,25000,Short-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Ishita_182,7000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Ananya_260,15000,Short-term,Unfurnished,Occasionally,No,Night Owl
Kabir_379,12000,Short-term,Furnished,No,Occasionally,Day Scholar
Aditya_155,10000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Priya_234,15000,Long-term,Semi-furnished,No,Yes,Day Scholar
Kabir_441,25000,Long-term,Furnished,No,Occasionally,Night Owl
Arjun_12,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Gaurav_128,5000,Long-term,Furnished,Yes,No,Day Scholar
Swati_4,10000,Short-term,Unfurnished,Yes,No,Night Owl
Yash_189,5000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Pallavi_391,5000,Short-term,Furnished,Occasionally,Yes,Day Scholar
Tanya_439,7000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Avni_40,5000,Long-term,Semi-furnished,No,No,Night Owl
Aditya_208,15000,Short-term,Unfurnished,Occasionally,Yes,Night Owl
Priya_380,10000,Short-term,Semi-furnished,Yes,No,Night Owl
Divya_175,7000,Long-term,Semi-furnished,Yes,No,Day Scholar
Priya_15,5000,Long-term,Unfurnished,No,Yes,Day Scholar
Tanya_314,7000,Short-term,Unfurnished,Yes,No,Day Scholar
Aditya_193,10000,Long-term,Unfurnished,Occasionally,Yes,Night Owl
Vivaan_39,12000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Riya_343,7000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Arjun_121,15000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Saanvi_372,7000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Neha_158,15000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Aanya_375,20000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Arjun_371,12000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Rohan_472,25000,Long-term,Unfurnished,No,Occasionally,Night Owl
Krishna_351,5000,Long-term,Furnished,No,Occasionally,Day Scholar
Kavya_339,15000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Ishita_261,12000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Kavya_462,25000,Long-term,Unfurnished,No,No,Night Owl
Vihaan_27,7000,Long-term,Furnished,Occasionally,Yes,Night Owl
Swati_316,20000,Short-term,Semi-furnished,No,No,Night Owl
Nisha_418,20000,Long-term,Unfurnished,Yes,No,Day Scholar
Preeti_393,25000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Gaurav_84,12000,Long-term,Semi-furnished,No,Yes,Night Owl
Yash_275,7000,Long-term,Furnished,Occasionally,Yes,Night Owl
Tanya_276,12000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Swati_307,12000,Short-term,Furnished,Yes,Yes,Night Owl
Gaurav_478,20000,Short-term,Semi-furnished,Occasionally,Yes,Day Scholar
Arjun_295,10000,Long-term,Semi-furnished,No,No,Night Owl
Pallavi_450,5000,Long-term,Furnished,No,No,Night Owl
Vihaan_77,5000,Long-term,Unfurnished,Yes,Yes,Night Owl
Pooja_121,12000,Long-term,Furnished,No,Occasionally,Day Scholar
Kabir_383,25000,Long-term,Furnished,Occasionally,Yes,Night Owl
Tanya_241,7000,Long-term,Furnished,No,Yes,Day Scholar
Meera_242,12000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Aryan_148,20000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Aryan_479,20000,Short-term,Unfurnished,Yes,No,Day Scholar
Kavya_196,15000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Kavya_131,25000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Gaurav_106,15000,Long-term,Unfurnished,No,Yes,Night Owl
Aarav_432,5000,Short-term,Furnished,Occasionally,Occasionally,Day Scholar
Manish_283,5000,Short-term,Unfurnished,No,Yes,Night Owl
Rekha_260,5000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Siddharth_212,10000,Long-term,Unfurnished,No,Occasionally,Night Owl
Rohan_190,15000,Long-term,Furnished,No,Occasionally,Day Scholar
Aditya_433,25000,Long-term,Unfurnished,No,Occasionally,Night Owl
Siddharth_127,25000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Simran_171,12000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Manish_50,10000,Long-term,Furnished,No,Yes,Night Owl
Nisha_241,5000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Simran_231,20000,Long-term,Unfurnished,Yes,No,Night Owl
Riya_433,20000,Short-term,Furnished,Occasionally,No,Night Owl
Aniket_282,15000,Long-term,Furnished,No,Occasionally,Night Owl
Rajesh_217,10000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Simran_309,12000,Long-term,Semi-furnished,No,Occasionally,Night Owl
Neha_317,20000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Preeti_401,7000,Short-term,Unfurnished,Occasionally,No,Night Owl
Siddharth_1,7000,Short-term,Furnished,No,No,Night Owl
Manish_267,12000,Short-term,Furnished,No,Occasionally,Night Owl
Pooja_396,25000,Short-term,Furnished,Yes,Occasionally,Day Scholar
Pooja_363,10000,Short-term,Furnished,No,Occasionally,Day Scholar
Swati_245,12000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Vivaan_493,20000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Simran_313,20000,Long-term,Semi-furnished,No,Occasionally,Day Scholar
Nisha_223,5000,Short-term,Semi-furnished,Occasionally,Yes,Night Owl
Ananya_350,25000,Short-term,Furnished,Yes,Yes,Day Scholar
Aniket_41,12000,Short-term,Furnished,Occasionally,Yes,Night Owl
Krishna_370,5000,Long-term,Unfurnished,Occasionally,No,Night Owl
Rajesh_241,20000,Long-term,Furnished,No,No,Day Scholar
Arjun_128,25000,Long-term,Unfurnished,Yes,No,Day Scholar
Aarav_497,7000,Long-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Pooja_271,12000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Rajesh_87,25000,Short-term,Furnished,Yes,Occasionally,Night Owl
Yash_199,5000,Long-term,Unfurnished,Occasionally,No,Day Scholar
Vikram_300,20000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Preeti_219,7000,Short-term,Semi-furnished,No,Yes,Day Scholar
Neha_440,5000,Short-term,Furnished,Occasionally,Yes,Night Owl
Pooja_279,12000,Short-term,Unfurnished,No,Occasionally,Night Owl
Bhavya_420,5000,Long-term,Semi-furnished,Yes,No,Night Owl
Simran_491,12000,Long-term,Unfurnished,No,Occasionally,Day Scholar
Saanvi_478,25000,Short-term,Semi-furnished,No,Yes,Day Scholar
Siddharth_186,7000,Short-term,Semi-furnished,Yes,No,Night Owl
Aanya_96,7000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Nisha_172,25000,Short-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Pallavi_262,20000,Long-term,Semi-furnished,Occasionally,Yes,Night Owl
Aniket_219,5000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Aryan_473,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Nisha_374,25000,Long-term,Furnished,Occasionally,Yes,Night Owl
Yash_93,7000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Ishaan_142,7000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Pooja_252,7000,Long-term,Semi-furnished,Yes,No,Night Owl
Rohan_290,25000,Short-term,Unfurnished,No,No,Day Scholar
Rohan_458,10000,Short-term,Furnished,Yes,Yes,Day Scholar
Riya_156,5000,Short-term,Unfurnished,Yes,No,Day Scholar
Kabir_226,12000,Long-term,Furnished,No,No,Night Owl
Kavya_492,12000,Short-term,Unfurnished,No,No,Day Scholar
Riya_500,15000,Short-term,Unfurnished,Yes,Occasionally,Night Owl
Aryan_473,15000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Pallavi_80,15000,Long-term,Semi-furnished,No,Yes,Day Scholar
Meera_23,12000,Short-term,Semi-furnished,No,Yes,Day Scholar
Aryan_4,10000,Long-term,Furnished,Yes,No,Day Scholar
Priya_172,7000,Long-term,Furnished,Occasionally,Occasionally,Day Scholar
Sarita_435,20000,Long-term,Unfurnished,Yes,Occasionally,Night Owl
Sarita_114,15000,Short-term,Unfurnished,Occasionally,Yes,Day Scholar
Kabir_308,15000,Short-term,Unfurnished,Yes,No,Day Scholar
Ishaan_427,12000,Short-term,Furnished,Occasionally,Occasionally,Night Owl
Swati_400,12000,Short-term,Semi-furnished,Yes,Occasionally,Day Scholar
Avni_21,12000,Long-term,Semi-furnished,Yes,Occasionally,Day Scholar
Manish_118,12000,Long-term,Semi-furnished,Yes,Yes,Day Scholar
Ishaan_116,12000,Short-term,Furnished,Occasionally,No,Night Owl
Ananya_488,20000,Short-term,Semi-furnished,No,Occasionally,Night Owl
Kavya_401,5000,Long-term,Furnished,Occasionally,Yes,Night Owl
Rahul_122,25000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Pallavi_289,10000,Long-term,Unfurnished,Occasionally,Yes,Day Scholar
Aarav_320,5000,Short-term,Unfurnished,No,Occasionally,Day Scholar
Gaurav_454,5000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Aditya_92,10000,Short-term,Furnished,No,Yes,Day Scholar
Simran_220,12000,Long-term,Semi-furnished,Yes,No,Day Scholar
Ishita_297,25000,Long-term,Furnished,Yes,Yes,Day Scholar
Yash_259,5000,Short-term,Furnished,No,Occasionally,Day Scholar
Avni_150,25000,Short-term,Furnished,No,No,Night Owl
Rajesh_250,5000,Short-term,Semi-furnished,Yes,Occasionally,Night Owl
Rekha_120,20000,Short-term,Semi-furnished,Yes,No,Night Owl
Rekha_240,5000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Rahul_333,7000,Long-term,Furnished,Occasionally,Yes,Day Scholar
Sarita_131,20000,Short-term,Semi-furnished,No,Occasionally,Day Scholar
Manish_84,12000,Long-term,Unfurnished,Yes,No,Day Scholar
Simran_97,25000,Long-term,Furnished,No,No,Day Scholar
Ishaan_329,5000,Long-term,Furnished,Occasionally,Occasionally,Night Owl
Riya_118,20000,Long-term,Furnished,No,Yes,Night Owl
Swati_63,15000,Short-term,Furnished,Yes,No,Day Scholar
Gaurav_384,15000,Short-term,Furnished,Yes,No,Day Scholar
Vivaan_303,10000,Long-term,Semi-furnished,Occasionally,Occasionally,Night Owl
Saanvi_73,7000,Short-term,Unfurnished,Yes,Yes,Day Scholar
Avni_427,20000,Short-term,Furnished,Occasionally,No,Day Scholar
Saanvi_147,15000,Long-term,Furnished,No,No,Day Scholar
Sneha_355,7000,Long-term,Unfurnished,Occasionally,No,Night Owl
Rahul_345,5000,Short-term,Semi-furnished,Yes,Yes,Day Scholar
Swati_309,7000,Short-term,Unfurnished,Occasionally,Occasionally,Day Scholar
Meera_161,10000,Short-term,Furnished,Yes,Yes,Night Owl
Aditya_335,10000,Long-term,Unfurnished,No,Yes,Day Scholar
Vikram_114,15000,Long-term,Furnished,Yes,Occasionally,Day Scholar
Neha_236,12000,Long-term,Semi-furnished,Occasionally,Occasionally,Day Scholar
Aryan_247,20000,Long-term,Furnished,Yes,Yes,Night Owl
Neha_444,15000,Long-term,Furnished,No,Yes,Day Scholar
Aanya_147,25000,Short-term,Furnished,Yes,No,Night Owl
Manish_337,5000,Long-term,Semi-furnished,Occasionally,No,Day Scholar
Pallavi_264,20000,Long-term,Furnished,No,No,Night Owl
Saanvi_49,7000,Short-term,Unfurnished,Occasionally,No,Day Scholar
Rohan_304,10000,Long-term,Furnished,Yes,Occasionally,Night Owl
Vikram_63,20000,Long-term,Furnished,Occasionally,No,Day Scholar
Rekha_257,15000,Long-term,Unfurnished,Occasionally,Occasionally,Night Owl
Kavya_222,10000,Short-term,Unfurnished,No,Occasionally,Night Owl
Pooja_131,10000,Short-term,Unfurnished,Yes,No,Day Scholar
Simran_88,12000,Long-term,Semi-furnished,Occasionally,Yes,Day Scholar
Krishna_301,5000,Long-term,Unfurnished,Yes,No,Day Scholar
Neha_234,5000,Short-term,Furnished,Yes,Yes,Day Scholar
Bhavya_224,15000,Long-term,Furnished,No,Occasionally,Night Owl
Sneha_449,20000,Long-term,Semi-furnished,Yes,Occasionally,Night Owl
Neha_484,25000,Short-term,Semi-furnished,No,Yes,Night Owl
Simran_26,15000,Long-term,Semi-furnished,No,Yes,Day Scholar
Vihaan_118,10000,Short-term,Furnished,No,Yes,Night Owl
