Name,Age,Occupation,Gender,Location,Room Type,Hostel Availability,Rating
The Urban Nest Lodge,19,Doctor,Female,Hyderabad,Shared,No,4
Serene Stay Stay,18,Business Owner,Female,Chennai,Dormitory,No,2
The Urban Nest Inn,40,Artist,Male,Mumbai,Shared,Yes,5
Harmony Living Stay,23,Software Engineer,Male,Ahmedabad,Dormitory,No,5
Serene Stay Living,41,Doctor,Other,Ahmedabad,Shared,Yes,3
NestAway PG Living,24,Doctor,Other,Delhi,Single,Yes,1
Lotus Living Residency,41,Business Owner,Male,Delhi,Single,No,3
Greenwood PG Lodge,21,Freelancer,Female,Hyderabad,Dormitory,No,2
Infinity PG Living,23,Doctor,Other,Mumbai,Shared,Yes,1
NestAway PG Living,41,Software Engineer,Female,Kolkata,Shared,Yes,4
Tranquil Residency Stay,34,Student,Other,Bangalore,Single,No,5
Comfort Inn Lodge,43,Freelancer,Female,Kolkata,Shared,Yes,1
Sunrise PG Lodge,37,Doctor,Male,Kolkata,Shared,Yes,2
Blue Sky PG Lodge,45,Student,Other,Chennai,Dormitory,Yes,1
Comfort Inn Living,26,Artist,Male,Kolkata,Single,Yes,2
Golden Acres PG Residency,40,Doctor,Male,Delhi,Dormitory,Yes,3
Skyline PG Inn,39,Business Owner,Other,Mumbai,Single,Yes,5
The Urban Nest Stay,29,Doctor,Male,Bangalore,Shared,No,1
Cozy Nest Inn,45,Artist,Male,Ahmedabad,Dormitory,No,3
NestAway PG Stay,38,Artist,Male,Mumbai,Dormitory,No,2
Tranquil Residency Residency,37,Artist,Female,Hyderabad,Dormitory,Yes,2
Royal Residency Lodge,18,Business Owner,Female,Pune,Dormitory,No,1
City Comforts Stay,19,Student,Male,Kolkata,Shared,Yes,1
Tranquil Residency Lodge,34,Artist,Female,Mumbai,Shared,Yes,5
Metro Living Living,21,Artist,Female,Hyderabad,Dormitory,Yes,4
Urban Habitat Stay,37,Teacher,Other,Delhi,Single,No,3
Royal Residency Inn,25,Freelancer,Male,Ahmedabad,Dormitory,Yes,1
Comfort Inn Lodge,20,Business Owner,Other,Chennai,Shared,No,3
Lotus Living Lodge,36,Teacher,Male,Bangalore,Dormitory,Yes,5
Smart Stay Lodge,21,Freelancer,Male,Delhi,Single,Yes,3
Serene Stay Lodge,25,Student,Female,Delhi,Single,No,3
Infinity PG Residency,29,Freelancer,Male,Pune,Shared,No,2
Maple PG Lodge,33,Student,Male,Kolkata,Shared,No,3
Elite Stay Living,37,Freelancer,Other,Mumbai,Single,Yes,5
Safe Haven Lodge,45,Artist,Other,Hyderabad,Dormitory,Yes,2
Serene Stay Stay,26,Business Owner,Female,Ahmedabad,Shared,Yes,4
Metro Living Lodge,29,Teacher,Male,Mumbai,Single,No,1
Pearl Residency Stay,22,Artist,Female,Pune,Dormitory,Yes,4
Royal Residency Living,40,Artist,Female,Ahmedabad,Single,Yes,2
Lotus Living Inn,36,Freelancer,Female,Bangalore,Shared,No,4
Harmony Living Lodge,37,Teacher,Other,Delhi,Single,No,4
Safe Haven Living,19,Teacher,Other,Delhi,Dormitory,No,1
Comfort Inn Lodge,24,Student,Male,Mumbai,Dormitory,Yes,5
Maple PG Residency,31,Doctor,Female,Hyderabad,Dormitory,Yes,5
Harmony Living Lodge,30,Teacher,Female,Hyderabad,Shared,No,5
NestAway PG Stay,32,Artist,Other,Pune,Dormitory,Yes,2
Elite Stay Residency,33,Teacher,Other,Hyderabad,Shared,No,3
Elite Stay Living,35,Student,Male,Ahmedabad,Single,No,3
Golden Acres PG Residency,25,Software Engineer,Male,Hyderabad,Shared,No,3
Urban Habitat Living,26,Artist,Male,Ahmedabad,Shared,Yes,3
Golden Acres PG Lodge,35,Business Owner,Other,Pune,Shared,No,1
Harmony Living Stay,33,Teacher,Female,Mumbai,Dormitory,Yes,3
Blue Sky PG Inn,43,Freelancer,Female,Mumbai,Single,No,4
NestAway PG Stay,37,Artist,Other,Ahmedabad,Shared,No,2
Urban Habitat Living,24,Software Engineer,Male,Chennai,Shared,No,4
Lotus Living Lodge,44,Software Engineer,Other,Chennai,Shared,Yes,2
Blue Sky PG Residency,31,Business Owner,Other,Delhi,Shared,No,1
Happy Homes Residency,28,Teacher,Male,Mumbai,Single,No,3
Lotus Living Stay,31,Artist,Other,Delhi,Dormitory,Yes,2
NestAway PG Living,41,Business Owner,Other,Chennai,Dormitory,No,1
Urban Habitat Inn,20,Software Engineer,Male,Bangalore,Single,No,4
City Comforts Inn,24,Freelancer,Female,Pune,Single,No,4
Skyline PG Stay,42,Artist,Other,Kolkata,Dormitory,No,3
Sunrise PG Inn,38,Freelancer,Other,Pune,Shared,No,4
Metro Living Inn,41,Freelancer,Male,Pune,Shared,Yes,5
Greenwood PG Inn,36,Freelancer,Other,Pune,Single,Yes,5
Safe Haven Residency,44,Freelancer,Other,Bangalore,Single,Yes,3
Smart Stay Living,38,Student,Male,Bangalore,Dormitory,No,5
Pearl Residency Inn,36,Doctor,Male,Bangalore,Single,No,2
Pearl Residency Inn,40,Software Engineer,Other,Hyderabad,Single,No,3
Lotus Living Inn,34,Doctor,Other,Kolkata,Dormitory,Yes,1
The Urban Nest Inn,31,Student,Female,Delhi,Shared,No,2
Tranquil Residency Inn,40,Software Engineer,Other,Kolkata,Single,Yes,4
The Urban Nest Living,44,Freelancer,Female,Kolkata,Single,No,4
Lotus Living Stay,20,Business Owner,Male,Hyderabad,Dormitory,Yes,3
Lotus Living Stay,24,Doctor,Male,Ahmedabad,Single,No,3
Metro Living Stay,40,Business Owner,Female,Mumbai,Single,No,1
NestAway PG Lodge,31,Business Owner,Other,Pune,Single,Yes,2
Sunrise PG Residency,24,Freelancer,Other,Hyderabad,Dormitory,Yes,3
Metro Living Residency,31,Teacher,Female,Hyderabad,Single,No,1
Urban Habitat Residency,29,Freelancer,Male,Bangalore,Shared,No,5
Cozy Nest Stay,37,Teacher,Male,Delhi,Dormitory,Yes,2
Elite Stay Lodge,43,Freelancer,Male,Ahmedabad,Dormitory,No,1
Lotus Living Lodge,19,Artist,Female,Hyderabad,Dormitory,No,2
Skyline PG Living,19,Student,Other,Chennai,Shared,No,5
Royal Residency Residency,19,Business Owner,Male,Hyderabad,Single,Yes,4
Harmony Living Stay,31,Student,Male,Chennai,Shared,No,5
Pearl Residency Stay,22,Teacher,Male,Chennai,Dormitory,Yes,1
NestAway PG Residency,30,Software Engineer,Other,Chennai,Single,Yes,5
Pearl Residency Lodge,23,Software Engineer,Other,Ahmedabad,Dormitory,No,2
Skyline PG Stay,38,Business Owner,Male,Hyderabad,Dormitory,No,1
Pearl Residency Lodge,34,Teacher,Female,Mumbai,Single,Yes,5
Comfort Inn Residency,33,Artist,Female,Delhi,Shared,No,5
Elite Stay Living,25,Student,Male,Pune,Single,No,2
NestAway PG Inn,42,Artist,Female,Pune,Shared,No,3
Cozy Nest Stay,28,Doctor,Male,Hyderabad,Single,No,5
Safe Haven Inn,40,Doctor,Other,Mumbai,Shared,Yes,1
Tranquil Residency Living,20,Software Engineer,Male,Delhi,Single,Yes,4
Lotus Living Stay,38,Doctor,Female,Hyderabad,Single,No,1
Elite Stay Stay,40,Artist,Female,Chennai,Single,No,3
Smart Stay Stay,39,Software Engineer,Male,Ahmedabad,Shared,Yes,1
Happy Homes Inn,44,Freelancer,Other,Bangalore,Dormitory,No,2
Royal Residency Stay,33,Doctor,Male,Hyderabad,Shared,No,5
Sunrise PG Inn,36,Software Engineer,Other,Bangalore,Single,No,2
Greenwood PG Inn,35,Teacher,Female,Hyderabad,Dormitory,No,3
Maple PG Stay,26,Doctor,Other,Bangalore,Dormitory,No,4
Elite Stay Living,35,Teacher,Male,Chennai,Single,No,5
Smart Stay Residency,40,Doctor,Other,Pune,Dormitory,Yes,4
Comfort Inn Lodge,18,Software Engineer,Male,Delhi,Single,Yes,3
Maple PG Lodge,20,Freelancer,Other,Ahmedabad,Shared,Yes,2
The Urban Nest Residency,20,Artist,Male,Ahmedabad,Dormitory,Yes,2
Cozy Nest Residency,26,Artist,Other,Bangalore,Shared,No,5
Sunrise PG Lodge,27,Software Engineer,Other,Chennai,Shared,No,5
Blue Sky PG Lodge,31,Teacher,Female,Chennai,Shared,Yes,4
Greenwood PG Lodge,39,Business Owner,Female,Hyderabad,Dormitory,Yes,1
Infinity PG Living,37,Freelancer,Male,Ahmedabad,Shared,No,5
Harmony Living Stay,34,Business Owner,Other,Mumbai,Dormitory,Yes,5
Sunrise PG Residency,45,Business Owner,Other,Pune,Single,No,3
Skyline PG Residency,27,Software Engineer,Other,Pune,Shared,Yes,1
Blue Sky PG Residency,44,Freelancer,Other,Pune,Shared,Yes,5
Harmony Living Stay,30,Freelancer,Other,Ahmedabad,Shared,Yes,3
Smart Stay Living,40,Business Owner,Other,Bangalore,Dormitory,Yes,1
Sunrise PG Stay,39,Freelancer,Other,Kolkata,Single,No,3
City Comforts Residency,32,Student,Female,Hyderabad,Dormitory,Yes,3
Serene Stay Stay,38,Doctor,Male,Delhi,Dormitory,Yes,1
Elite Stay Lodge,29,Teacher,Other,Bangalore,Dormitory,Yes,3
Maple PG Living,26,Artist,Female,Chennai,Single,Yes,2
Comfort Inn Stay,40,Teacher,Female,Hyderabad,Shared,No,5
Greenwood PG Inn,37,Student,Male,Mumbai,Single,Yes,3
Infinity PG Residency,43,Software Engineer,Female,Hyderabad,Single,No,5
Smart Stay Stay,28,Business Owner,Female,Bangalore,Dormitory,Yes,1
Infinity PG Lodge,26,Freelancer,Other,Delhi,Dormitory,No,4
Golden Acres PG Living,33,Business Owner,Female,Pune,Dormitory,No,2
Maple PG Lodge,35,Doctor,Male,Delhi,Dormitory,No,4
Maple PG Stay,21,Doctor,Female,Mumbai,Dormitory,No,4
Smart Stay Residency,36,Teacher,Male,Bangalore,Shared,No,1
Serene Stay Residency,45,Business Owner,Other,Hyderabad,Shared,No,5
Happy Homes Lodge,34,Software Engineer,Other,Ahmedabad,Shared,Yes,1
Safe Haven Residency,22,Doctor,Male,Kolkata,Shared,Yes,3
Golden Acres PG Residency,24,Software Engineer,Female,Mumbai,Single,No,3
Metro Living Living,37,Teacher,Female,Pune,Dormitory,Yes,2
Cozy Nest Living,35,Software Engineer,Other,Mumbai,Single,Yes,2
Comfort Inn Lodge,34,Business Owner,Other,Ahmedabad,Single,Yes,3
Infinity PG Living,37,Student,Female,Ahmedabad,Dormitory,Yes,2
Maple PG Living,20,Student,Female,Ahmedabad,Single,Yes,1
Greenwood PG Residency,28,Freelancer,Other,Chennai,Single,No,4
The Urban Nest Residency,21,Software Engineer,Other,Chennai,Shared,No,2
Sunrise PG Lodge,31,Student,Other,Bangalore,Single,No,1
Skyline PG Living,21,Software Engineer,Female,Kolkata,Single,No,1
Smart Stay Living,43,Business Owner,Female,Ahmedabad,Single,Yes,3
Maple PG Stay,45,Student,Female,Pune,Single,Yes,1
Royal Residency Stay,23,Artist,Other,Bangalore,Single,No,2
City Comforts Residency,24,Artist,Other,Pune,Shared,No,1
Greenwood PG Stay,44,Artist,Female,Delhi,Shared,Yes,4
The Urban Nest Lodge,24,Business Owner,Male,Chennai,Dormitory,No,5
Safe Haven Lodge,39,Teacher,Female,Chennai,Single,Yes,1
Elite Stay Inn,22,Freelancer,Other,Kolkata,Single,Yes,3
Harmony Living Stay,41,Teacher,Male,Hyderabad,Single,No,1
Skyline PG Living,34,Student,Other,Kolkata,Single,Yes,5
Skyline PG Stay,33,Student,Male,Mumbai,Shared,No,4
Metro Living Stay,28,Software Engineer,Male,Mumbai,Shared,Yes,4
Sunrise PG Living,38,Business Owner,Female,Bangalore,Single,No,5
Happy Homes Residency,32,Student,Female,Chennai,Single,No,3
Smart Stay Living,24,Freelancer,Other,Kolkata,Dormitory,No,5
Golden Acres PG Living,40,Teacher,Male,Chennai,Dormitory,Yes,5
Smart Stay Living,35,Artist,Other,Ahmedabad,Single,Yes,5
The Urban Nest Residency,22,Artist,Other,Hyderabad,Dormitory,Yes,3
The Urban Nest Living,33,Doctor,Female,Hyderabad,Shared,No,2
Golden Acres PG Inn,26,Software Engineer,Female,Delhi,Single,Yes,1
Cozy Nest Living,31,Freelancer,Male,Pune,Dormitory,No,4
Skyline PG Stay,30,Freelancer,Female,Bangalore,Single,Yes,3
Cozy Nest Living,42,Freelancer,Female,Ahmedabad,Single,Yes,4
Smart Stay Stay,34,Software Engineer,Female,Mumbai,Dormitory,No,4
Golden Acres PG Stay,21,Business Owner,Male,Pune,Single,Yes,2
Safe Haven Inn,33,Freelancer,Male,Hyderabad,Dormitory,No,4
Happy Homes Living,26,Teacher,Other,Pune,Dormitory,Yes,5
Pearl Residency Inn,38,Doctor,Other,Hyderabad,Shared,Yes,3
Maple PG Residency,21,Student,Female,Ahmedabad,Dormitory,No,5
Tranquil Residency Lodge,42,Freelancer,Other,Hyderabad,Single,No,1
Maple PG Stay,20,Doctor,Female,Delhi,Dormitory,Yes,1
Tranquil Residency Stay,27,Artist,Other,Chennai,Shared,Yes,1
Metro Living Living,24,Freelancer,Other,Ahmedabad,Dormitory,No,1
Comfort Inn Inn,30,Business Owner,Female,Bangalore,Single,No,3
Harmony Living Stay,26,Freelancer,Male,Mumbai,Single,Yes,1
Smart Stay Living,28,Teacher,Female,Bangalore,Shared,No,3
Serene Stay Lodge,41,Freelancer,Female,Ahmedabad,Shared,Yes,1
Happy Homes Stay,30,Doctor,Male,Ahmedabad,Shared,Yes,1
Smart Stay Stay,37,Teacher,Male,Delhi,Dormitory,No,3
Cozy Nest Inn,40,Business Owner,Female,Bangalore,Shared,Yes,2
Pearl Residency Inn,26,Software Engineer,Male,Pune,Dormitory,Yes,4
Maple PG Inn,39,Doctor,Other,Ahmedabad,Shared,No,3
City Comforts Stay,26,Freelancer,Other,Chennai,Single,No,1
NestAway PG Residency,30,Freelancer,Other,Hyderabad,Single,Yes,3
Pearl Residency Lodge,28,Teacher,Female,Hyderabad,Shared,Yes,2
Lotus Living Lodge,41,Doctor,Other,Delhi,Single,No,3
Cozy Nest Lodge,35,Student,Male,Bangalore,Shared,Yes,3
Happy Homes Living,25,Software Engineer,Other,Bangalore,Dormitory,Yes,1
Happy Homes Living,31,Student,Male,Hyderabad,Dormitory,No,5
Urban Habitat Stay,22,Software Engineer,Male,Ahmedabad,Shared,Yes,3
Happy Homes Lodge,45,Software Engineer,Female,Hyderabad,Shared,Yes,4
Blue Sky PG Inn,31,Doctor,Male,Hyderabad,Single,No,3
Tranquil Residency Living,31,Artist,Other,Delhi,Single,Yes,3
Skyline PG Residency,43,Student,Female,Hyderabad,Shared,No,3
NestAway PG Lodge,29,Software Engineer,Other,Mumbai,Shared,Yes,2
Smart Stay Living,45,Freelancer,Female,Bangalore,Dormitory,No,3
City Comforts Residency,43,Business Owner,Male,Bangalore,Single,Yes,3
City Comforts Lodge,44,Student,Male,Chennai,Dormitory,Yes,4
The Urban Nest Stay,43,Doctor,Male,Chennai,Dormitory,Yes,5
The Urban Nest Inn,20,Business Owner,Male,Delhi,Shared,Yes,3
Smart Stay Living,21,Business Owner,Female,Mumbai,Single,Yes,2
Safe Haven Residency,32,Artist,Female,Ahmedabad,Shared,No,4
Happy Homes Stay,29,Doctor,Female,Mumbai,Shared,Yes,2
Serene Stay Lodge,24,Artist,Other,Mumbai,Shared,Yes,3
The Urban Nest Lodge,29,Software Engineer,Male,Mumbai,Single,No,3
Infinity PG Residency,28,Student,Other,Mumbai,Shared,Yes,5
Comfort Inn Living,40,Student,Other,Bangalore,Shared,Yes,4
Tranquil Residency Living,41,Doctor,Male,Ahmedabad,Shared,Yes,3
Harmony Living Living,36,Business Owner,Male,Pune,Single,Yes,4
Harmony Living Inn,32,Teacher,Female,Kolkata,Shared,No,5
Royal Residency Lodge,19,Freelancer,Male,Chennai,Single,Yes,4
City Comforts Stay,18,Artist,Female,Chennai,Shared,No,4
Infinity PG Residency,35,Artist,Female,Kolkata,Dormitory,No,1
Elite Stay Stay,27,Business Owner,Female,Bangalore,Single,No,3
Urban Habitat Lodge,42,Student,Female,Kolkata,Dormitory,Yes,5
Lotus Living Stay,26,Artist,Female,Chennai,Shared,No,2
City Comforts Residency,24,Business Owner,Other,Hyderabad,Single,No,1
Harmony Living Lodge,31,Doctor,Other,Ahmedabad,Dormitory,No,1
City Comforts Stay,29,Teacher,Male,Pune,Shared,No,2
Golden Acres PG Lodge,19,Freelancer,Other,Bangalore,Shared,No,5
Pearl Residency Lodge,44,Teacher,Male,Pune,Single,Yes,2
Safe Haven Residency,37,Artist,Female,Ahmedabad,Shared,Yes,1
City Comforts Lodge,28,Artist,Female,Ahmedabad,Single,No,3
Sunrise PG Residency,32,Artist,Other,Chennai,Dormitory,No,2
Elite Stay Residency,44,Artist,Male,Pune,Dormitory,Yes,5
City Comforts Residency,39,Artist,Female,Hyderabad,Dormitory,No,1
Blue Sky PG Living,42,Software Engineer,Other,Mumbai,Dormitory,Yes,4
Blue Sky PG Lodge,20,Teacher,Female,Delhi,Shared,No,5
Infinity PG Inn,24,Software Engineer,Male,Delhi,Dormitory,Yes,1
Urban Habitat Residency,33,Student,Female,Kolkata,Shared,Yes,5
Metro Living Stay,31,Software Engineer,Male,Chennai,Dormitory,Yes,5
Lotus Living Residency,26,Student,Male,Bangalore,Dormitory,Yes,2
Comfort Inn Lodge,20,Artist,Other,Hyderabad,Shared,Yes,2
Serene Stay Stay,32,Student,Male,Pune,Dormitory,Yes,5
Harmony Living Inn,29,Student,Male,Chennai,Shared,No,2
Tranquil Residency Lodge,29,Business Owner,Female,Delhi,Shared,Yes,5
Lotus Living Living,35,Software Engineer,Other,Mumbai,Shared,Yes,2
Happy Homes Lodge,25,Software Engineer,Other,Delhi,Shared,Yes,3
Sunrise PG Lodge,42,Freelancer,Female,Kolkata,Single,No,4
City Comforts Living,18,Business Owner,Other,Delhi,Dormitory,Yes,2
Comfort Inn Stay,40,Freelancer,Other,Ahmedabad,Dormitory,No,2
Skyline PG Stay,21,Freelancer,Male,Ahmedabad,Dormitory,No,4
The Urban Nest Lodge,39,Software Engineer,Male,Pune,Shared,Yes,2
Lotus Living Residency,21,Student,Female,Kolkata,Dormitory,Yes,4
Blue Sky PG Lodge,21,Artist,Female,Hyderabad,Dormitory,Yes,1
Golden Acres PG Residency,22,Business Owner,Other,Delhi,Shared,Yes,4
Safe Haven Living,30,Business Owner,Male,Bangalore,Single,Yes,4
Elite Stay Inn,34,Business Owner,Male,Pune,Single,No,3
Smart Stay Living,34,Artist,Female,Pune,Dormitory,Yes,5
Safe Haven Inn,19,Software Engineer,Male,Ahmedabad,Single,No,1
Sunrise PG Lodge,39,Software Engineer,Other,Delhi,Dormitory,No,4
Skyline PG Residency,21,Artist,Female,Bangalore,Shared,No,5
Harmony Living Residency,32,Teacher,Other,Hyderabad,Dormitory,Yes,2
City Comforts Stay,43,Business Owner,Male,Delhi,Shared,Yes,5
Smart Stay Living,25,Software Engineer,Other,Chennai,Shared,No,2
Maple PG Living,18,Student,Other,Pune,Shared,No,3
The Urban Nest Residency,19,Business Owner,Female,Mumbai,Dormitory,No,3
Happy Homes Residency,19,Doctor,Male,Kolkata,Shared,No,1
Safe Haven Lodge,42,Freelancer,Male,Mumbai,Dormitory,No,1
City Comforts Stay,24,Artist,Other,Delhi,Single,No,3
Blue Sky PG Residency,45,Doctor,Other,Mumbai,Shared,No,4
Maple PG Lodge,40,Student,Female,Delhi,Dormitory,No,2
Safe Haven Residency,18,Business Owner,Female,Delhi,Single,No,1
Urban Habitat Living,30,Artist,Male,Bangalore,Shared,No,5
Comfort Inn Stay,22,Doctor,Other,Chennai,Single,Yes,2
Harmony Living Stay,37,Freelancer,Female,Kolkata,Shared,Yes,2
Cozy Nest Stay,22,Student,Other,Chennai,Shared,No,3
Blue Sky PG Stay,30,Business Owner,Male,Hyderabad,Single,Yes,3
Blue Sky PG Lodge,39,Teacher,Other,Hyderabad,Shared,No,4
Elite Stay Lodge,35,Business Owner,Other,Bangalore,Dormitory,Yes,5
Elite Stay Residency,35,Artist,Other,Chennai,Single,Yes,4
Happy Homes Lodge,45,Teacher,Other,Kolkata,Shared,Yes,4
NestAway PG Inn,21,Student,Other,Delhi,Dormitory,Yes,4
Comfort Inn Lodge,33,Artist,Other,Bangalore,Shared,No,3
Royal Residency Lodge,39,Business Owner,Male,Mumbai,Single,Yes,4
Tranquil Residency Residency,45,Software Engineer,Female,Mumbai,Single,Yes,4
Happy Homes Lodge,22,Doctor,Male,Mumbai,Shared,No,3
Urban Habitat Lodge,34,Teacher,Male,Ahmedabad,Single,Yes,5
The Urban Nest Inn,29,Student,Male,Hyderabad,Single,No,1
NestAway PG Stay,27,Teacher,Male,Ahmedabad,Single,No,3
Smart Stay Inn,35,Teacher,Female,Mumbai,Single,Yes,3
Happy Homes Inn,42,Artist,Other,Bangalore,Shared,Yes,2
Happy Homes Inn,30,Freelancer,Female,Bangalore,Shared,No,3
Cozy Nest Stay,38,Freelancer,Female,Pune,Dormitory,No,4
Greenwood PG Living,30,Business Owner,Other,Pune,Dormitory,Yes,3
Urban Habitat Living,45,Teacher,Other,Ahmedabad,Dormitory,No,3
NestAway PG Living,24,Freelancer,Other,Delhi,Dormitory,Yes,3
Greenwood PG Living,18,Student,Other,Mumbai,Dormitory,Yes,4
Harmony Living Inn,29,Doctor,Male,Kolkata,Shared,Yes,3
Golden Acres PG Lodge,43,Teacher,Female,Mumbai,Shared,No,5
Serene Stay Residency,39,Student,Male,Mumbai,Dormitory,No,1
Greenwood PG Living,44,Student,Other,Delhi,Dormitory,Yes,3
Golden Acres PG Inn,32,Business Owner,Female,Delhi,Single,Yes,2
Comfort Inn Inn,43,Doctor,Male,Bangalore,Shared,No,1
Metro Living Living,30,Teacher,Male,Pune,Shared,No,1
Royal Residency Stay,44,Artist,Other,Hyderabad,Dormitory,Yes,2
Comfort Inn Inn,22,Artist,Other,Ahmedabad,Single,No,5
Safe Haven Stay,33,Artist,Female,Mumbai,Dormitory,Yes,5
Sunrise PG Stay,40,Freelancer,Male,Ahmedabad,Dormitory,Yes,2
Maple PG Inn,25,Business Owner,Other,Hyderabad,Dormitory,No,1
Safe Haven Living,37,Teacher,Male,Mumbai,Shared,No,3
NestAway PG Residency,33,Doctor,Male,Delhi,Shared,Yes,1
Metro Living Residency,35,Teacher,Other,Hyderabad,Single,Yes,3
Safe Haven Stay,21,Artist,Other,Ahmedabad,Dormitory,Yes,1
Safe Haven Lodge,27,Artist,Female,Hyderabad,Shared,Yes,5
Tranquil Residency Living,29,Doctor,Female,Ahmedabad,Single,No,3
Infinity PG Stay,24,Business Owner,Other,Kolkata,Dormitory,No,2
Golden Acres PG Residency,37,Student,Other,Delhi,Shared,No,5
Lotus Living Stay,45,Software Engineer,Other,Chennai,Shared,Yes,1
City Comforts Lodge,23,Freelancer,Other,Bangalore,Single,No,1
Metro Living Living,29,Freelancer,Female,Delhi,Dormitory,Yes,5
The Urban Nest Living,45,Doctor,Male,Ahmedabad,Shared,Yes,3
Elite Stay Residency,43,Freelancer,Other,Chennai,Shared,Yes,1
Urban Habitat Living,25,Software Engineer,Male,Bangalore,Shared,Yes,1
Lotus Living Inn,40,Software Engineer,Other,Pune,Single,No,5
Elite Stay Residency,35,Artist,Male,Bangalore,Dormitory,No,3
Cozy Nest Stay,43,Teacher,Male,Pune,Single,No,4
Harmony Living Lodge,20,Teacher,Other,Mumbai,Single,Yes,2
Maple PG Residency,42,Doctor,Other,Delhi,Shared,No,4
Blue Sky PG Inn,39,Doctor,Female,Chennai,Single,Yes,1
Tranquil Residency Stay,27,Artist,Male,Chennai,Single,No,4
Infinity PG Living,26,Doctor,Male,Ahmedabad,Single,No,1
Golden Acres PG Inn,38,Doctor,Male,Delhi,Shared,Yes,2
Lotus Living Inn,32,Business Owner,Male,Bangalore,Single,No,5
Smart Stay Lodge,42,Doctor,Other,Delhi,Single,Yes,3
Pearl Residency Inn,39,Freelancer,Other,Chennai,Single,No,2
The Urban Nest Lodge,28,Artist,Other,Mumbai,Single,No,1
Elite Stay Living,24,Student,Female,Mumbai,Dormitory,No,2
Comfort Inn Stay,21,Doctor,Female,Ahmedabad,Single,Yes,2
Maple PG Inn,21,Artist,Female,Delhi,Single,Yes,5
Metro Living Living,25,Student,Male,Mumbai,Shared,Yes,4
Skyline PG Living,30,Student,Male,Bangalore,Single,Yes,3
